world_index,ellipse,marker_type
293,"(857.8377075195312, 540.382568359375)",Ref
294,"(857.6947021484375, 540.2291259765625)",Ref
295,"(857.5679931640625, 540.2388305664062)",Ref
296,"(857.32958984375, 540.5455932617188)",Ref
297,"(857.0078735351562, 540.6939086914062)",Ref
298,"(857.164794921875, 540.6943359375)",Ref
299,"(857.0730590820312, 540.4930419921875)",Ref
300,"(857.021484375, 540.5663452148438)",Ref
301,"(857.0667724609375, 540.616455078125)",Ref
302,"(857.285888671875, 540.5506591796875)",Ref
303,"(857.5506591796875, 540.285888671875)",Ref
304,"(857.4509887695312, 540.5262451171875)",Ref
305,"(857.0573120117188, 540.80908203125)",Ref
306,"(856.5863647460938, 541.023193359375)",Ref
307,"(856.612548828125, 540.8632202148438)",Ref
308,"(856.8757934570312, 540.5)",Ref
309,"(857.07421875, 540.1979370117188)",Ref
310,"(856.8635864257812, 539.6054077148438)",Ref
311,"(856.5526123046875, 539.1465454101562)",Ref
312,"(856.5753784179688, 538.4246215820312)",Ref
313,"(856.6190795898438, 538.3809204101562)",Ref
314,"(856.6927490234375, 538.5442504882812)",Ref
315,"(856.852294921875, 538.852294921875)",Ref
316,"(856.976806640625, 539.4136352539062)",Ref
317,"(856.559326171875, 539.8888549804688)",Ref
318,"(856.5, 540.7355346679688)",Ref
319,"(856.4557495117188, 541.3072509765625)",Ref
320,"(856.6681518554688, 541.5929565429688)",Ref
321,"(856.5, 542.1242065429688)",Ref
322,"(856.4246215820312, 542.5753784179688)",Ref
323,"(856.5442504882812, 542.6927490234375)",Ref
324,"(856.6927490234375, 542.5442504882812)",Ref
325,"(856.7264404296875, 542.6132202148438)",Ref
326,"(856.4938354492188, 542.6717529296875)",Ref
327,"(855.8757934570312, 542.5)",Ref
328,"(855.5506591796875, 542.285888671875)",Ref
329,"(855.5, 541.8757934570312)",Ref
330,"(855.6927490234375, 541.5442504882812)",Ref
331,"(855.714111328125, 541.4493408203125)",Ref
332,"(855.7149047851562, 540.8583984375)",Ref
333,"(855.6441650390625, 540.6441650390625)",Ref
334,"(855.6681518554688, 540.5929565429688)",Ref
335,"(855.559326171875, 540.8888549804688)",Ref
336,"(855.6441650390625, 541.3558349609375)",Ref
337,"(855.9359741210938, 541.5173950195312)",Ref
338,"(856.0664672851562, 542.0664672851562)",Ref
339,"(855.67529296875, 542.25537109375)",Ref
340,"(855.6681518554688, 541.5929565429688)",Ref
341,"(855.6179809570312, 541.6179809570312)",Ref
342,"(855.5, 542.0)",Ref
343,"(855.6927490234375, 542.5442504882812)",Ref
344,"(856.10693359375, 542.9430541992188)",Ref
345,"(856.6190795898438, 543.3809204101562)",Ref
346,"(856.9117431640625, 543.6127319335938)",Ref
347,"(856.7869262695312, 543.8614501953125)",Ref
348,"(856.3309936523438, 543.5953979492188)",Ref
349,"(856.0107421875, 542.9892578125)",Ref
350,"(856.1734619140625, 542.7136840820312)",Ref
351,"(856.5, 543.1242065429688)",Ref
352,"(856.5014038085938, 543.4019775390625)",Ref
353,"(856.5442504882812, 543.6927490234375)",Ref
354,"(856.4281616210938, 543.6646118164062)",Ref
355,"(856.4569091796875, 543.5430908203125)",Ref
375,"(269.2562561035156, 544.880615234375)",Ref
376,"(269.41156005859375, 544.7978515625)",Ref
377,"(269.854736328125, 544.5265502929688)",Ref
378,"(269.97796630859375, 544.43994140625)",Ref
379,"(270.1112365722656, 544.634765625)",Ref
380,"(270.0211486816406, 545.3883666992188)",Ref
381,"(269.76116943359375, 545.5679931640625)",Ref
382,"(269.8519592285156, 545.485595703125)",Ref
383,"(269.9661865234375, 545.164794921875)",Ref
