world_index,gaze_timestamp,gaze,marker,marker_type
4301,8826.573151556931,"(827.2987384632802, 206.60622438751213)","(824.0, 225.79689025878906)",Ref
4301,8826.58448455693,"(828.1294226263292, 205.3558683627792)","(824.0, 225.79689025878906)",Ref
4302,8826.597549741931,"(826.3287457518079, 207.19554196127103)","(824.2643432617188, 225.46421813964844)",Ref
4302,8826.606453482931,"(829.8363964681079, 211.29463136246164)","(824.2643432617188, 225.46421813964844)",Ref
4302,8826.617828556931,"(834.2651820097049, 205.57204208962872)","(824.2643432617188, 225.46421813964844)",Ref
4303,8826.63281144593,"(838.040651129895, 213.5346485165461)","(824.3331298828125, 225.89154052734375)",Ref
4303,8826.639760167931,"(834.2337665089017, 210.82367909569112)","(824.3331298828125, 225.89154052734375)",Ref
4303,8826.651077908931,"(836.8950721612757, 212.138485641352)","(824.3331298828125, 225.89154052734375)",Ref
4304,8826.66641948293,"(834.4332917289639, 214.814813141951)","(824.244140625, 226.07473754882812)",Ref
4304,8826.676331908931,"(834.6445026715385, 212.4256188877009)","(824.244140625, 226.07473754882812)",Ref
4305,8826.69972625993,"(836.7258409648095, 211.19055321555578)","(824.1071166992188, 226.44918823242188)",Ref
4305,8826.70769003793,"(835.0303060538072, 212.8860670769217)","(824.1071166992188, 226.44918823242188)",Ref
4306,8826.73162479693,"(832.2681525749779, 214.7348795873008)","(824.0194702148438, 227.09744262695312)",Ref
4306,8826.754936963931,"(836.0305763397416, 212.5000368884457)","(824.0194702148438, 227.09744262695312)",Ref
4307,8826.76295225993,"(836.9402412646016, 212.74104080722276)","(824.0615844726562, 227.8415985107422)",Ref
4307,8826.78096714893,"(836.3641930272624, 211.82134746048524)","(824.0615844726562, 227.8415985107422)",Ref
4308,8826.80917709393,"(832.4633379642988, 213.9105451848706)","(823.8915405273438, 227.33314514160156)",Ref
4308,8826.81724257493,"(835.0303060538072, 212.8860670769217)","(823.8915405273438, 227.33314514160156)",Ref
4309,8826.83044796393,"(833.7290834726193, 209.48046012069227)","(823.755859375, 227.07473754882812)",Ref
4309,8826.844523778931,"(835.5134144059939, 209.25830215853065)","(823.755859375, 227.07473754882812)",Ref
4309,8826.85247757493,"(836.0367455216028, 211.1230023945212)","(823.755859375, 227.07473754882812)",Ref
4310,8826.86963985293,"(830.8184622466817, 216.0154402455918)","(823.6185302734375, 227.0)",Ref
4311,8826.89817966793,"(835.2882389417992, 212.10285995679433)","(823.6185302734375, 227.0)",Ref
4311,8826.90599775993,"(832.6413285833971, 214.0231739550616)","(823.6185302734375, 227.0)",Ref
4311,8826.91730268593,"(833.3573670750743, 208.03191774375932)","(823.6185302734375, 227.0)",Ref
4312,8826.935505963931,"(833.5628006280966, 210.13034246756618)","(824.0355834960938, 226.94735717773438)",Ref
4313,8826.96942922293,"(833.4092138650535, 213.30506078429636)","(824.462890625, 226.92947387695312)",Ref
4314,8826.999134685931,"(838.1488221434606, 206.8209720738458)","(824.1052856445312, 227.28518676757812)",Ref
4314,8827.009065056931,"(835.8246366196684, 205.16637256471574)","(824.1052856445312, 227.28518676757812)",Ref
4314,8827.02449270493,"(831.8342420628644, 210.87285121494614)","(824.1052856445312, 227.28518676757812)",Ref
4315,8827.04101263093,"(833.4920830966578, 209.882488793777)","(824.0615844726562, 227.8415985107422)",Ref
4315,8827.050555074931,"(833.9170511442692, 210.0812582326038)","(824.0615844726562, 227.8415985107422)",Ref
4316,8827.066701259932,"(835.6838034022578, 212.19398952682812)","(823.9038696289062, 227.9038543701172)",Ref
4316,8827.075984685931,"(834.4645317250228, 207.43770394262208)","(823.9038696289062, 227.9038543701172)",Ref
4317,8827.09287963093,"(834.8291873570458, 208.24851593305797)","(823.8553466796875, 227.79946899414062)",Ref
4318,8827.13110925993,"(836.5989101634036, 208.49127332797633)","(823.9038696289062, 227.0961456298828)",Ref
4319,8827.166161907931,"(836.6067431701994, 211.46777606767884)","(823.8416137695312, 227.0615997314453)",Ref
4319,8827.17548835293,"(835.3392778431357, 211.70304918305916)","(823.8416137695312, 227.0615997314453)",Ref
4320,8827.192910000931,"(835.3281585362163, 210.3131658715825)","(824.0615844726562, 227.1584014892578)",Ref
4321,8827.23088825993,"(834.8996141268884, 211.0863171819262)","(823.9606323242188, 227.14065551757812)",Ref
4322,8827.266379204932,"(833.7307615163845, 208.64861507947367)","(824.0, 227.20310974121094)",Ref
4323,8827.29846774193,"(834.8667204115434, 209.39301523778127)","(824.203857421875, 227.5)",Ref
4323,8827.30695059293,"(834.1786716825982, 209.03167488141494)","(824.203857421875, 227.5)",Ref
4323,8827.325764944932,"(835.5208039552384, 209.19080413793154)","(824.203857421875, 227.5)",Ref
4325,8827.36818829693,"(835.2195362674806, 215.23688703640704)","(304.59161376953125, 503.87200927734375)",Ref
4326,8827.401678037932,"(834.3439189511614, 210.31739843052213)","(304.59161376953125, 503.87200927734375)",Ref
4327,8827.43207887093,"(836.0012327156652, 210.60297764781998)","(304.43975830078125, 504.0555419921875)",Ref
4327,8827.44341574093,"(833.2445481795362, 211.31353890998443)","(304.43975830078125, 504.0555419921875)",Ref
4328,8827.47280477893,"(833.7659780890015, 210.52995537473555)","(303.94476318359375, 504.1789855957031)",Ref
4328,8827.48059070393,"(836.0746794835554, 211.5880733895179)","(303.94476318359375, 504.1789855957031)",Ref
4329,8827.49222566693,"(835.0121028915214, 213.75701221447588)","(304.179931640625, 504.140869140625)",Ref
4329,8827.50450820393,"(833.851279425867, 212.88750562390652)","(304.179931640625, 504.140869140625)",Ref
4329,8827.51368700093,"(832.2957997231335, 213.99979080795669)","(304.179931640625, 504.140869140625)",Ref
4329,8827.52472918593,"(834.899312900217, 217.3081411241409)","(304.179931640625, 504.140869140625)",Ref
4330,8827.53773566693,"(835.4393228374773, 217.6868257189635)","(303.9900817871094, 504.3067626953125)",Ref
4330,8827.546792407931,"(835.3276231994735, 216.0433331635362)","(303.9900817871094, 504.3067626953125)",Ref
4331,8827.55885000093,"(809.4894080502984, 233.9663644493148)","(304.0, 504.7059631347656)",Ref
4331,8827.571149092932,"(716.048658361247, 281.1201147521316)","(304.0, 504.7059631347656)",Ref
4331,8827.58011181493,"(581.1272922288539, 346.85337574018087)","(304.0, 504.7059631347656)",Ref
4332,8827.591938963931,"(472.8523789900276, 428.8428166589519)","(304.01947021484375, 504.9025573730469)",Ref
4332,8827.605119611932,"(395.12977703323486, 463.05851668679145)","(304.01947021484375, 504.9025573730469)",Ref
4332,8827.61341788993,"(332.2722829416864, 486.6840420996692)","(304.01947021484375, 504.9025573730469)",Ref
4332,8827.62447544493,"(314.3464394274707, 494.98001211259793)","(304.01947021484375, 504.9025573730469)",Ref
4333,8827.638970389931,"(318.3460486691602, 490.30272245567)","(304.5, 504.85198974609375)",Ref
4333,8827.64752590793,"(318.8070016760212, 493.3264053511659)","(304.5, 504.85198974609375)",Ref
4334,8827.65914085193,"(316.43950868768104, 488.8503618787443)","(304.52301025390625, 504.64166259765625)",Ref
4334,8827.67089314893,"(317.94035224817185, 490.3188415433473)","(304.52301025390625, 504.64166259765625)",Ref
4334,8827.680071777932,"(320.01647361413507, 489.7294526713023)","(304.52301025390625, 504.64166259765625)",Ref
4334,8827.690967666931,"(319.1884444020826, 488.65562545234343)","(304.52301025390625, 504.64166259765625)",Ref
4335,8827.704099944931,"(317.2155140656739, 486.0896554008051)","(304.7197570800781, 504.8868713378906)",Ref
4335,8827.713251648931,"(318.8426731542832, 485.17307480396084)","(304.7197570800781, 504.8868713378906)",Ref
